category,id,product_name_en,product_name_kr,description_en,description_kr,product_name_en_alt,tagline,main_ingredients,ingredient_benefits,target_skin_type,skin_concerns,texture,finish,usage_guide,key_claims,tiktok_hook,marketing_angle,market_trend
Product,KLR-006,Vegan Vitamin C Brightening Jelly Mask,비건 비타민 C 브라이트닝 젤리 마스크,A high-potency Vitamin C treatment delivered in a unique jelly-textured sheet. It provides an immediate antioxidant boost to brighten dullness and even out skin tone.,,Instant Glow Sheet Mask,Eco-conscious brightening for an instant event-ready glow.,"Sodium Ascorbyl Phosphate (Stable Vit C), Niacinamide, Glutathione",Stable Vit C brightens without irritation; Niacinamide targets pores; Glutathione is a master antioxidant.,"All Skin Types, especially Dull or Sun-damaged","Hyperpigmentation, uneven tone, fatigue signs","Cooling jelly-sheet, high-adhesion","Instant glow, brightening boost",Apply to clean skin for 15-20 minutes. Massage remaining essence into face and neck. No rinsing required.,"100% Vegan, Biodegradable Sheet, Clean Ingredients","#InstantGlow mask, Prep for the weekend, Jelly mask aesthetic",Instant gratification for 'Clean Girl' prep routines.,Shift towards 'Eco-conscious' and 'Instant-gratification' sheet masks.
Product,KLR-007,Matcha & BHA Pore Foaming Cleanser,말차 & BHA 포어 클렌징 폼,A low-pH gel-to-foam cleanser that pairs the antioxidant power of Matcha with Salicylic Acid to dissolve oil and debris while keeping the skin barrier intact.,,Detox & Refine Cleanser,Deep pore cleansing that respects your skin's natural balance.,"Matcha Green Tea Extract, Salicylic Acid (BHA 0.5%), Green Tea Leaf Water",Matcha provides antioxidants; BHA dissolves pore-clogging oil; Green tea soothes.,"Oily, Combination, Acne-Prone","Blackheads, Large Pores, Excess Oil",Creamy gel that transforms into dense foam,Deeply clean but not stripped (pH balanced),Lather a small amount in wet hands and massage onto face. Rinse with lukewarm water.,"Low pH (5.5), Sulfate-Free, Non-Stripping","#PoreCare routine, Matcha power, pH balanced cleaning",The perfect second step for a K-Beauty double cleanse.,Growing awareness of the 'Acid Mantle' and low pH cleansing in the US.
Product,KLR-008,Mineral Tone-up Sun Stick,미네랄 톤업 선 스틱,"A 100% mineral sun stick that provides broad-spectrum protection with a natural, blurring tone-up effect. Designed for easy re-application over makeup without clogging pores.",,SPF 50+ Physical Shield,"No-mess, reef-safe protection for on-the-go lifestyle.","Zinc Oxide, Titanium Dioxide, Calamine, Vitamin E",Physical filters block UV; Calamine calms and provides pinkish tone-up; Vit E protects from pollutants.,"Sensitive, Fair to Medium tones, Outdoor enthusiasts","UV Damage, Sensitive to Chemical Sunscreens, Blue Light","Silky, easy-glide stick","Natural brightening, soft-blur, no white cast (optimized)",Glide directly onto skin or over makeup. Re-apply every 2 hours during sun exposure.,"SPF 50+ PA++++, Reef-Safe (Hawaii compliant), Non-Nano, Vegan","#SunStick hack, No-mess sunscreen, Reef-safe beauty",Environmentally conscious protection that fits in your pocket.,High demand for 'Reef-safe' mineral formulas in coastal US states.
Product,KLR-009,Soybean Deep Cleansing Oil,콩 추출물 딥 클렌징 오일,"A lightweight, water-soluble cleansing oil that uses Soybean and Jojoba oils to dissolve waterproof makeup and pollutants while mimicking the skin's natural oils for a soft, balanced finish.",,Makeup Melting Oil,Effortlessly melt away the day with heritage ingredients.,"Glycine Soja (Soybean) Oil (50%), Jojoba Seed Oil, Sunflower Seed Oil",Soybean oil dissolves makeup; Jojoba mimics skin sebum for balance; Sunflower oil prevents moisture loss.,"All Skin Types, even Oily (oil dissolves oil)","Waterproof Makeup, Sebaceous Filaments, Sunscreen Residue","Lightweight oil, water-soluble (emulsifies quickly)","Clean, soft, no oily film left behind","Massage onto dry face to dissolve makeup. Add water to emulsify, then rinse thoroughly.","Mineral Oil-Free, PEG-Free, Fragrance-Free","#DoubleCleansing routine, Melt your makeup, Blackhead removal hack",K-Heritage meets modern double cleansing.,The 'Double Cleansing' method is now a standard 'Clean Girl' aesthetic ritual in the US.
Brand_Identity_Detail,Company Introduction,,,Klear is a premium K-Beauty brand dedicated to 'Radical Transparency' and 'Uncompromised Protection' for your skin.,클리어(Klear)는 피부를 위한 '철저한 투명성'과 '타협 없는 보호'를 실천하는 프리미엄 K-뷰티 브랜드입니다.,,,,,,,,,,,,,
Brand_Identity_Detail,Brand Vision,,,To define the future of K-Beauty in the US by becoming the most transparent and trusted skincare partner for the next generation.,다음 세대를 위해 가장 투명하고 신뢰받는 스킨케어 파트너가 되어 미국 내 K-뷰티의 미래를 정의하는 것입니다.,,,,,,,,,,,,,
Brand_Identity_Detail,Brand Mission,,,"To empower consumers with honest ingredient data and high-performance, barrier-first skincare solutions.",정직한 성분 데이터와 고기능성 장벽 중심 스킨케어 솔루션으로 소비자에게 자신감을 부여하는 것입니다.,,,,,,,,,,,,,
Brand_Identity_Detail,Core Philosophy,,,Radical Transparency: No hidden ingredients. Uncompromised Protection: Barrier-focused science.,철저한 투명성: 숨겨진 성분 없음. 타협 없는 보호: 장벽 중심의 과학.,,,,,,,,,,,,,
Brand_Identity_Detail,Target Market,,,"US Gen Z and Millennials seeking clean, effective, and ethically produced skincare.",클린하고 효과적이며 윤리적으로 생산된 스킨케어를 찾는 미국 MZ세대.,,,,,,,,,,,,,
Brand_Identity_Detail,Brand Commitment,,,"100% Vegan, Cruelty-Free, Fragrance-Free, and MoCRA compliant.","100% 비건, 크루얼티 프리, 무향, MoCRA 규제 준수.",,,,,,,,,,,,,
